influencer_id,influencer_name,influencer_main_genre,influencer_active_start
771438,Black Sabbath,Pop/Rock,1960
925852,Anvil,Pop/Rock,1970
957085,Danzig,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
22124,Slayer,Pop/Rock,1980
134729,Faith No More,Pop/Rock,1980
223627,John Frusciante,Pop/Rock,1980
260206,Van Halen,Pop/Rock,1970
280956,Rollins Band,Pop/Rock,1980
351733,Nine Inch Nails,Pop/Rock,1980
357406,Nirvana,Pop/Rock,1980
388198,Neurosis,Pop/Rock,1980
424244,Ozzy Osbourne,Pop/Rock,1960
446509,Metallica,Pop/Rock,1980
506513,Mr. Bungle,Pop/Rock,1980
572737,Helmet,Pop/Rock,1980
579839,Suicidal Tendencies,Pop/Rock,1980
741746,Sepultura,Pop/Rock,1980
754032,The Beatles,Pop/Rock,1960
771438,Black Sabbath,Pop/Rock,1960
790820,Tool,Pop/Rock,1990
806829,Jane's Addiction,Pop/Rock,1980
825251,Marilyn Manson,Pop/Rock,1980
863790,Rage Against the Machine,Pop/Rock,1990
66915,Bob Dylan,Pop/Rock,1960
100160,The Kinks,Pop/Rock,1960
120521,Chuck Berry,Pop/Rock,1950
180228,Elvis Presley,Pop/Rock,1950
354105,Jimi Hendrix,Pop/Rock,1960
489303,The Yardbirds,Pop/Rock,1960
577627,The Who,Pop/Rock,1960
754032,The Beatles,Pop/Rock,1960
799053,Donovan,Pop/Rock,1960
824022,Little Richard,Pop/Rock,1950
894465,The Rolling Stones,Pop/Rock,1960
16835,The Paul Butterfield Blues Band,Blues,1960
22928,Steppenwolf,Pop/Rock,1960
41874,The Beach Boys,Pop/Rock,1960
46120,The Amboy Dukes,Pop/Rock,1960
66915,Bob Dylan,Pop/Rock,1960
76057,King Crimson,Pop/Rock,1960
100160,The Kinks,Pop/Rock,1960
114342,The Doors,Pop/Rock,1960
137474,Laura Nyro,Pop/Rock,1960
138699,Frank Zappa,Pop/Rock,1950
182598,MC5,Pop/Rock,1960
239859,Leonard Bernstein,Classical,1940
309458,Screamin' Jay Hawkins,R&B;,1950
311674,Vanilla Fudge,Pop/Rock,1960
327765,John Barry,Stage & Screen,1950
346336,Pink Floyd,Pop/Rock,1960
354105,Jimi Hendrix,Pop/Rock,1960
489303,The Yardbirds,Pop/Rock,1960
489676,The Pretty Things,Pop/Rock,1960
562304,The Stooges,Pop/Rock,1960
577627,The Who,Pop/Rock,1960
642542,Burt Bacharach,Pop/Rock,1950
754032,The Beatles,Pop/Rock,1960
772567,Iron Butterfly,Pop/Rock,1960
894465,The Rolling Stones,Pop/Rock,1960
6334,Tony Bennett,Vocal,1940
66915,Bob Dylan,Pop/Rock,1960
150629,脙鈥癲ith Piaf,Vocal,1930
695189,Yves Montand,Vocal,1940
792507,Frank Sinatra,Vocal,1930
804476,Charles Aznavour,Vocal,1930
958533,Dave Brubeck,Jazz,1940
28692,Terry Gibbs,Jazz,1940
175553,John Coltrane,Jazz,1940
208404,Dexter Gordon,Jazz,1940
404463,Ravi Shankar,International,1930
640675,Bud Powell,Jazz,1940
868092,McCoy Tyner,Jazz,1960
749222,Paul Oakenfold,Electronic,1980
752945,Paul van Dyk,Electronic,1990
37730,Pearl Jam,Pop/Rock,1990
39258,Paul Westerberg,Pop/Rock,1980
47789,BoDeans,Pop/Rock,1980
51992,Big Star,Pop/Rock,1970
66915,Bob Dylan,Pop/Rock,1960
78741,The Connells,Pop/Rock,1980
130173,Crowded House,Pop/Rock,1980
184043,Foo Fighters,Pop/Rock,1990
287917,Lindsey Buckingham,Pop/Rock,1960
350840,Jimmy Buffett,Pop/Rock,1960
387530,Matthew Sweet,Pop/Rock,1980
490554,The Posies,Pop/Rock,1980
612716,Tom Petty,Pop/Rock,1970
853492,Marshall Crenshaw,Pop/Rock,1980
898479,The Smithereens,Pop/Rock,1980
936425,Todd Rundgren,Pop/Rock,1960
987491,Gram Parsons,Pop/Rock,1960
11707,Steely Dan,Pop/Rock,1970
41874,The Beach Boys,Pop/Rock,1960
43714,Bee Gees,Pop/Rock,1960
46925,"Blood, Sweat & Tears",Pop/Rock,1960
96964,Boz Scaggs,Pop/Rock,1960
102399,Larry Carlton,Jazz,1970
110161,Chicago,Pop/Rock,1960
130689,Jackson Browne,Pop/Rock,1960
136871,The Doobie Brothers,Pop/Rock,1970
277351,Loggins & Messina,Pop/Rock,1970
481461,Orleans,Pop/Rock,1970
674662,Manfred Mann,Pop/Rock,1960
685647,Yes,Pop/Rock,1960
754032,The Beatles,Pop/Rock,1960
796734,Elton John,Pop/Rock,1960
957296,Herbie Hancock,Jazz,1960
60306,Harold Arlen,Stage & Screen,1930
79016,Billie Holiday,Vocal,1930
82584,Billy Eckstine,Vocal,1930
162677,Dizzy Gillespie,Jazz,1930
172642,Joe Mooney,Vocal,1950
184502,Ella Fitzgerald,Vocal,1930
204901,Sarah Vaughan,Vocal,1940
211758,Charlie Parker,Jazz,1930
212612,Johnny Hartman,Vocal,1950
213590,Joe Williams,Vocal,1930
244406,Johnny Mercer,Vocal,1930
742899,Stan Getz,Jazz,1940
792507,Frank Sinatra,Vocal,1930
396372,Max Roach,Jazz,1940
21334,Stephanie Mills,R&B;,1960
816701,Deniece Williams,R&B;,1970
825168,The Jones Girls,R&B;,1960
46861,Ray Charles,R&B;,1940
60679,Big Joe Williams,Blues,1930
815039,John Lee Hooker,Blues,1940
825208,Lightnin' Hopkins,Blues,1930
942252,Compay Segundo,Latin,1930
197424,Vicente Fern脙隆ndez,Latin,1960
311680,Luis Miguel,Latin,1980
617613,Alejandro Fern脙隆ndez,Latin,1990
619388,Alejandro Sanz,Latin,1980
245039,Vassar Clements,Country,1950
389979,Ralph Stanley,Country,1940
778568,J.D. Crowe & the New South,Country,1970
36537,Steve Howe,Pop/Rock,1960
89021,Jimmy Page,Pop/Rock,1950
112462,Cream,Pop/Rock,1960
139026,Led Zeppelin,Pop/Rock,1960
187478,Eric Clapton,Pop/Rock,1960
209142,George Harrison,Pop/Rock,1950
240865,Jeff Beck,Pop/Rock,1960
307135,Rick Nielsen,Pop/Rock,1970
354105,Jimi Hendrix,Pop/Rock,1960
496405,The Shadows,Pop/Rock,1950
754032,The Beatles,Pop/Rock,1960
805785,Joe Satriani,Pop/Rock,1970
821571,Smokey Robinson,R&B;,1950
842351,Pete Townshend,Pop/Rock,1960
113480,Jaco Pastorius,Jazz,1960
152312,Jack Bruce,Pop/Rock,1960
61479,The Five Satins,R&B;,1950
64145,The Five Keys,R&B;,1950
82013,The Impressions,R&B;,1950
118544,The Drifters,R&B;,1950
144458,Curtis Mayfield,R&B;,1950
147200,The Dells,R&B;,1950
162820,Gene Chandler,R&B;,1950
316834,Marvin Gaye,R&B;,1950
329468,Jerry Butler,R&B;,1950
524239,Brook Benton,R&B;,1950
894335,The Platters,R&B;,1950
41420,Pebbles,R&B;,1980
59819,Betty Wright,R&B;,1950
101953,Klymaxx,R&B;,1980
118289,Labelle,R&B;,1970
208774,Janet Jackson,R&B;,1970
361393,Prince,R&B;,1970
477875,The Supremes,R&B;,1950
500889,Minnie Riperton,R&B;,1960
509356,Atlantic Starr,R&B;,1970
569256,The Tams,R&B;,1950
572106,The Three Degrees,R&B;,1960
594665,Diana Ross,R&B;,1960
661524,Donna Summer,R&B;,1970
664849,Gloria Gaynor,R&B;,1970
746666,Sister Sledge,R&B;,1970
802302,Chaka Khan,R&B;,1960
865016,New Edition,R&B;,1980
894847,The Pointer Sisters,R&B;,1970
55128,Bo Diddley,Pop/Rock,1940
58616,The Champs,Pop/Rock,1950
116984,Chubby Checker,R&B;,1950
120521,Chuck Berry,Pop/Rock,1950
502806,The Rivingtons,R&B;,1960
773642,The Kingsmen,Pop/Rock,1950
824022,Little Richard,Pop/Rock,1950
50251,Blind Melon,Pop/Rock,1990
88180,Kid Rock,Pop/Rock,1980
97325,Biohazard,Pop/Rock,1980
134729,Faith No More,Pop/Rock,1980
139026,Led Zeppelin,Pop/Rock,1960
223627,John Frusciante,Pop/Rock,1980
346336,Pink Floyd,Pop/Rock,1960
359326,Primus,Pop/Rock,1990
446509,Metallica,Pop/Rock,1980
485135,311,Pop/Rock,1990
490952,Anthrax,Pop/Rock,1980
506513,Mr. Bungle,Pop/Rock,1980
579839,Suicidal Tendencies,Pop/Rock,1980
771438,Black Sabbath,Pop/Rock,1960
798606,Fugazi,Pop/Rock,1980
863790,Rage Against the Machine,Pop/Rock,1990
883318,Red Hot Chili Peppers,Pop/Rock,1980
1098,Soundgarden,Pop/Rock,1980
5953,Alice Cooper,Pop/Rock,1960
61938,Blue 脙鈥搚ster Cult,Pop/Rock,1960
84209,Kiss,Pop/Rock,1970
105422,Corrosion of Conformity,Pop/Rock,1980
114342,The Doors,Pop/Rock,1960
139026,Led Zeppelin,Pop/Rock,1960
139908,The Cult,Pop/Rock,1980
192382,Deep Purple,Pop/Rock,1960
260206,Van Halen,Pop/Rock,1970
349157,Melvins,Pop/Rock,1980
379125,Neil Young,Pop/Rock,1960
418740,Sex Pistols,Pop/Rock,1970
446509,Metallica,Pop/Rock,1980
490004,Ramones,Pop/Rock,1970
501407,Mot脙露rhead,Pop/Rock,1970
562304,The Stooges,Pop/Rock,1960
574772,AC/DC,Pop/Rock,1970
623985,Budgie,Pop/Rock,1960
671953,Heart,Pop/Rock,1970
749970,Ted Nugent,Pop/Rock,1950
771438,Black Sabbath,Pop/Rock,1960
891063,Misfits,Pop/Rock,1970
895136,Pixies,Pop/Rock,1980
334740,Ronnie Milsap,Country,1960
13393,Tower of Power,R&B;,1960
59655,The Mar-Keys,R&B;,1960
94224,Ike & Tina Turner,R&B;,1960
128099,James Brown,R&B;,1950
149973,Barbara Lynn,R&B;,1960
170454,Carla Thomas,R&B;,1960
179764,Fontella Bass,R&B;,1960
414251,Otis Redding,R&B;,1960
477377,The Memphis Horns,R&B;,1960
542976,Candi Staton,R&B;,1960
568861,The Sweet Inspirations,R&B;,1950
667169,Gladys Knight & the Pips,R&B;,1950
751738,Steve Cropper,R&B;,1960
772526,Irma Thomas,R&B;,1960
803242,Lyn Collins,R&B;,1970
806542,Etta James,Blues,1950
817011,Was (Not Was),Pop/Rock,1980
894531,Otis Clay,R&B;,1950
927555,Aretha Franklin,R&B;,1950
59293,The Mamas & the Papas,Pop/Rock,1960
71336,The Four Freshmen,Vocal,1940
328352,The New Christy Minstrels,Folk,1960
575051,Herman's Hermits,Pop/Rock,1960
65590,The Flaming Lips,Pop/Rock,1980
66915,Bob Dylan,Pop/Rock,1960
131627,Creedence Clearwater Revival,Pop/Rock,1960
189678,Galaxie 500,Pop/Rock,1980
325459,R.E.M.,Pop/Rock,1980
346336,Pink Floyd,Pop/Rock,1960
379125,Neil Young,Pop/Rock,1960
422405,The Replacements,Pop/Rock,1970
545726,Guided by Voices,Pop/Rock,1980
615119,Tom Waits,Pop/Rock,1970
621944,The Boo Radleys,Pop/Rock,1980
752314,Pavement,Pop/Rock,1980
754032,The Beatles,Pop/Rock,1960
780625,Cracker,Pop/Rock,1990
816890,Johnny Cash,Country,1950
840402,The Velvet Underground,Pop/Rock,1960
895136,Pixies,Pop/Rock,1980
922911,Mojave 3,Pop/Rock,1990
39013,Alkaline Trio,Pop/Rock,1990
305363,Saves the Day,Pop/Rock,1990
563834,Dag Nasty,Pop/Rock,1980
579839,Suicidal Tendencies,Pop/Rock,1980
690456,Youth of Today,Pop/Rock,1990
781766,Cro-Mags,Pop/Rock,1990
808944,Jawbreaker,Pop/Rock,1980
855836,The Promise Ring,Pop/Rock,1990
178906,Jawbox,Pop/Rock,1980
219203,U2,Pop/Rock,1970
572737,Helmet,Pop/Rock,1980
583618,Sunny Day Real Estate,Pop/Rock,1990
798606,Fugazi,Pop/Rock,1980
803026,Government Issue,Pop/Rock,1980
808944,Jawbreaker,Pop/Rock,1980
855836,The Promise Ring,Pop/Rock,1990
859509,Quicksand,Pop/Rock,1990
11754,Sheena Easton,Pop/Rock,1980
22257,Patty Smyth,Pop/Rock,1980
31380,Paula Abdul,Pop/Rock,1980
81403,Boney M.,Pop/Rock,1970
137084,Jody Watley,R&B;,1970
159433,Take That,Pop/Rock,1990
160690,En Vogue,R&B;,1990
177454,M People,Electronic,1990
208774,Janet Jackson,R&B;,1970
228099,Howard Jones,Pop/Rock,1980
235923,Leif Garrett,Pop/Rock,1960
237205,Madonna,Pop/Rock,1980
246960,Wham!,Pop/Rock,1980
290590,Samantha Fox,Pop/Rock,1980
302106,Lisa Stansfield,R&B;,1980
354722,Rick Astley,Pop/Rock,1980
390477,New Kids on the Block,Pop/Rock,1980
477875,The Supremes,R&B;,1950
484145,The Partridge Family,Pop/Rock,1960
495338,Ace of Base,Pop/Rock,1990
545074,George Michael,Pop/Rock,1980
572499,The Velvelettes,R&B;,1960
776093,Kylie Minogue,Pop/Rock,1980
790833,Shalamar,R&B;,1970
820434,Whitney Houston,R&B;,1980
874289,Menudo,Latin,1970
100160,The Kinks,Pop/Rock,1960
121590,Jacques Brel,Vocal,1950
138699,Frank Zappa,Pop/Rock,1950
150629,脙鈥癲ith Piaf,Vocal,1930
253142,Scott Walker,Pop/Rock,1950
754032,The Beatles,Pop/Rock,1960
840402,The Velvet Underground,Pop/Rock,1960
567624,The Stylistics,R&B;,1960
590441,Young Marble Giants,Pop/Rock,1980
1433,Pam Tillis,Country,1980
133057,Jo Dee Messina,Country,1990
161808,Shania Twain,Country,1990
162269,Faith Hill,Country,1990
162487,Dixie Chicks,Country,1980
227088,Deana Carter,Country,1990
270491,Joni Mitchell,Pop/Rock,1960
286115,Lorrie Morgan,Country,1970
340446,McBride & the Ride,Country,1980
368112,Martina McBride,Country,1990
495861,Mindy McCready,Country,1990
749476,Trisha Yearwood,Country,1990
750131,Terri Clark,Country,1990
834108,Sarah McLachlan,Pop/Rock,1980
858375,Mary Chapin Carpenter,Country,1980
112789,Korn,Pop/Rock,1990
167320,Fear Factory,Pop/Rock,1980
178122,Filter,Pop/Rock,1990
420133,Ministry,Pop/Rock,1980
572737,Helmet,Pop/Rock,1980
820115,White Zombie,Pop/Rock,1980
825251,Marilyn Manson,Pop/Rock,1980
100160,The Kinks,Pop/Rock,1960
393345,Oasis,Pop/Rock,1990
564333,The Stone Roses,Pop/Rock,1980
577627,The Who,Pop/Rock,1960
894465,The Rolling Stones,Pop/Rock,1960
899530,The Smiths,Pop/Rock,1980
23290,Slam Stewart,Jazz,1940
170690,Erskine Hawkins,Jazz,1940
211758,Charlie Parker,Jazz,1930
242966,Lennie Tristano,Jazz,1940
490416,Thelonious Monk,Jazz,1940
494537,Milt Hinton,Jazz,1930
641450,Buddy Collette,Jazz,1950
748773,Amos Milburn,Blues,1940
7731,Papa Roach,Pop/Rock,1990
7920,Alice in Chains,Pop/Rock,1980
88180,Kid Rock,Pop/Rock,1980
112789,Korn,Pop/Rock,1990
134729,Faith No More,Pop/Rock,1980
543595,Candlebox,Pop/Rock,1990
572737,Helmet,Pop/Rock,1980
750742,Slipknot,Pop/Rock,1990
782768,Creed,Pop/Rock,1990
813946,Deftones,Pop/Rock,1980
167320,Fear Factory,Pop/Rock,1980
178122,Filter,Pop/Rock,1990
813946,Deftones,Pop/Rock,1980
863790,Rage Against the Machine,Pop/Rock,1990
12472,Traffic,Pop/Rock,1960
13393,Tower of Power,R&B;,1960
20050,Ten Years After,Pop/Rock,1960
36106,Steve Miller Band,Pop/Rock,1960
38490,The Band,Pop/Rock,1960
66915,Bob Dylan,Pop/Rock,1960
77175,Bob Weir,Pop/Rock,1960
96964,Boz Scaggs,Pop/Rock,1960
107139,Bootsy Collins,R&B;,1970
128099,James Brown,R&B;,1950
178536,Edgar Winter,Pop/Rock,1970
191947,War,R&B;,1970
265440,Jorma Kaukonen,Pop/Rock,1960
307461,Van Morrison,Pop/Rock,1950
313284,Little Feat,Pop/Rock,1960
317417,Quicksilver Messenger Service,Pop/Rock,1960
745964,The Allman Brothers Band,Pop/Rock,1960
798792,Graham Central Station,R&B;,1970
988440,Grateful Dead,Pop/Rock,1960
92942,Chic,R&B;,1970
127337,Be Bop Deluxe,Pop/Rock,1970
183858,Gary Numan,Pop/Rock,1970
217622,Japan,Pop/Rock,1970
238115,Sam Cooke,R&B;,1950
316834,Marvin Gaye,R&B;,1950
531986,David Bowie,Pop/Rock,1960
617196,Brian Eno,Pop/Rock,1970
645474,David Essex,Pop/Rock,1970
664849,Gloria Gaynor,R&B;,1970
809266,Ultravox,Pop/Rock,1970
852855,Roxy Music,Pop/Rock,1970
62823,Bad Religion,Pop/Rock,1980
91650,Black Flag,Pop/Rock,1970
202545,Generation X,Pop/Rock,1970
385611,Redd Kross,Pop/Rock,1980
418740,Sex Pistols,Pop/Rock,1970
490004,Ramones,Pop/Rock,1970
754032,The Beatles,Pop/Rock,1960
960690,X,Pop/Rock,1970
335,PJ Harvey,Pop/Rock,1990
158309,Pat Benatar,Pop/Rock,1970
225930,Liz Phair,Pop/Rock,1990
492331,Pretenders,Pop/Rock,1970
680476,Hole,Pop/Rock,1980
792530,Tori Amos,Pop/Rock,1980
15318,Travis Tritt,Country,1980
81561,Keith Whitley,Country,1970
207127,Ricky Van Shelton,Country,1980
214162,Vince Gill,Country,1970
251375,Johnny Paycheck,Country,1950
300749,Sammy Kershaw,Country,1990
396676,Randy Travis,Country,1970
522768,Brooks & Dunn,Country,1990
605375,Alan Jackson,Country,1990
792370,Clint Black,Country,1980
798248,Garth Brooks,Country,1980
944084,George Strait,Country,1970
18258,Teena Marie,R&B;,1970
169536,Ferlin Husky,Country,1950
744548,Spike Jones,Comedy/Spoken,1930
740833,Grant Lee Buffalo,Pop/Rock,1990
44994,Sonny Landreth,Blues,1970
129547,"Clarence ""Gatemouth"" Brown",Blues,1940
205180,Dr. John,Pop/Rock,1950
313284,Little Feat,Pop/Rock,1960
