V1,artist_name,artist_id,Zdanceability,Zenergy,Zvalence,Ztempo,Zloudness,Zmode,Zkey,Zacousticness,Zinstrumentalness,Zliveness,Zspeechiness,Zduration_ms,Zpopularity,count,genre
13,Lata Mangeshkar,132940,-0.332784617,-1.308922353,0.518588413,-0.257643328,-0.561423363,0.466387085,-1.282783104,2.042997058,0.557027154,0.107639023,0.208744995,-0.383554938,-2.683913425,855,Unknown
14,Glenn Gould,803752,-1.371238024,-1.681321749,0.49283261,-0.527665859,-2.909976452,0.466387085,0.422544996,2.159418942,3.143111461,-0.486513188,-0.295650641,-0.650399881,-1.588006169,831,Unknown
15,The Beatles,754032,-0.172868237,-0.178795893,0.372084121,0.037438248,0.06550896,0.466387085,-1.567004454,0.056935119,-0.344402145,0.234795718,-0.216322178,-0.860837644,0.639848754,823,Pop/Rock
16,Fleetwood Mac,182900,0.239147095,-0.315572055,0.31333694,0.152634225,-0.482593479,0.466387085,0.990987696,0.054935774,-0.008546231,0.414208862,-0.375535161,-0.065060329,-0.356888514,796,Pop/Rock
17,Led Zeppelin,139026,-0.915758391,0.478526596,-0.195508531,-0.076673949,-0.058812929,0.466387085,-0.998561754,-0.407061621,0.111706042,0.263475677,-0.1011931,0.965122853,0.137670251,676,Pop/Rock
18,Bob Marley & the Wailers,69402,1.461194991,-0.175161421,1.019586171,-0.003046442,0.069562843,0.466387085,0.990987696,-0.472491284,-0.444705393,0.80992024,1.106334801,0.32463746,0.267293252,606,Reggae
19,Nina Simone,411761,-0.74631278,-1.175508669,-0.452578731,-0.306516863,-0.818602586,0.466387085,0.990987696,1.479875338,-0.401924421,0.813565213,-0.152878282,-0.157906138,-0.825498978,569,Vocal
20,Elton John,796734,-0.159609333,0.002555687,-0.071364197,0.400933565,0.071969467,0.466387085,-1.567004454,0.025065767,-0.517244106,0.229641714,-0.362489064,0.390217573,-0.11370727,568,Pop/Rock
21,Stevie Wonder,622805,0.100846904,-0.276784168,0.353783541,-0.341634305,-0.495206164,0.466387085,-1.282783104,-0.001207891,-0.459078122,-0.107766548,-0.199998775,0.005046119,-0.386648332,543,R&B;
22,Marvin Gaye,316834,-0.029934521,-0.130352204,0.522406133,-0.219469154,-0.185779513,-2.143775435,-1.567004454,0.270209716,0.020245503,0.30158911,-0.262520075,-0.178380481,-0.545010087,542,R&B;
23,Leonard Bernstein,239859,-1.639242007,-1.729741573,-1.530383382,-0.793522151,-2.24588301,0.466387085,-0.145897704,1.803696074,1.600131233,0.272037191,0.208425355,1.012825694,-2.173669322,541,Unknown
24,The Who,577627,-0.542345686,0.64044579,-0.206233066,0.35924971,0.271671529,0.466387085,-0.998561754,-0.405858589,-0.269527061,0.488634939,-0.094813263,-0.075984018,-0.742845229,518,Pop/Rock
25,Willie Nelson,583959,0.130544006,-0.978244315,-0.231828381,-0.262297704,-0.70845454,0.466387085,-0.998561754,0.894670004,-0.410429327,0.139715577,-0.31849759,-0.666548617,-0.588541447,515,Country
26,Grateful Dead,988440,0.098469793,-0.313003148,0.422887354,0.01564749,-0.503486099,0.466387085,0.990987696,0.319769221,0.008343404,1.133946866,-0.323855261,1.092982232,-0.543951753,513,Pop/Rock
27,John Coltrane,175553,-0.630783167,-1.061283531,-0.56167086,-0.208251401,-0.775436667,0.466387085,-1.567004454,1.145077751,0.056800022,-0.153380366,-0.217475606,2.215352096,-1.275068109,506,Jazz
28,Thelonious Monk,490416,0.017108193,-1.383211945,-0.725617882,-0.362065615,-1.04434745,0.466387085,-0.145897704,1.611938832,1.563596031,-0.448085012,-0.134039526,0.576069316,-1.595601484,491,Jazz
29,Vicente Fern脙隆ndez,197424,-0.567672341,-0.859445073,0.14370656,-0.227263928,0.633062249,0.466387085,0.422544996,0.747677683,-0.5470688,0.463496114,-0.36888334,-0.733121252,-0.132375221,489,Latin
30,Oscar Peterson,489316,0.08513414,-1.921968834,-0.750390399,-0.898629806,-2.332239771,0.466387085,-1.567004454,1.983232092,2.716208737,-0.61572647,-0.296359684,-0.413398909,-1.878762965,482,Jazz
31,Metallica,446509,-1.363319185,1.473952644,-1.029011001,0.246269636,0.875010677,0.466387085,-0.430119054,-1.097116668,0.409817588,1.300846959,0.400878773,1.476976234,0.032772622,476,Pop/Rock
32,U2,219203,-0.746770218,0.438310132,-0.527570751,0.338600621,0.002810295,0.466387085,0.706766346,-0.746280086,-0.016861589,0.932939543,-0.32045946,0.226549588,0.057533315,451,Pop/Rock
33,David Bowie,531986,-0.351629846,0.045414281,0.012440691,0.125853924,-0.312292491,0.466387085,-1.567004454,-0.30179443,-0.23950619,0.114046016,-0.131778467,-0.042653677,0.16121904,446,Pop/Rock
34,Waylon Jennings,200791,0.384448585,-0.434823904,0.468346211,-0.306979873,-0.560605436,0.466387085,-0.998561754,0.506794269,-0.200938349,0.238835142,-0.417044114,-0.806892014,-0.678622483,445,Country
35,The Kinks,100160,0.013576996,0.567009621,0.651058684,0.087296112,0.441836743,0.466387085,0.422544996,-0.160343422,-0.470703493,-0.105591143,-0.191780221,-0.720191839,-0.72704455,442,Pop/Rock
36,Red Hot Chili Peppers,883318,0.018217091,1.100697568,-0.176216767,-0.17398187,1.047569217,0.466387085,-1.567004454,-0.972896608,-0.242550699,-0.121294257,0.104520565,-0.058861052,0.618344038,438,Pop/Rock
37,Javier Sol脙颅s,216348,-0.74002206,-1.29882221,-0.015816007,-0.427793297,-0.37400834,0.466387085,-1.567004454,1.616503451,-0.555719602,0.470468605,-0.437715655,-0.927475909,-1.350941493,434,Unknown
38,Aretha Franklin,927555,0.045461575,-0.713813571,0.143130448,-0.074226817,-0.191716244,0.466387085,-1.567004454,0.884465103,-0.54124087,0.549412906,-0.12501196,-0.342379319,-0.659847695,434,R&B;
39,Doris Day,189644,-0.922579223,-1.95857426,-0.999826562,-0.533740453,-1.272070395,0.466387085,-1.567004454,1.806040144,-0.530627195,0.017713849,-0.288079395,-0.908506694,-1.944991838,428,Vocal
40,George Strait,944084,0.588124866,-0.468732386,0.09075119,0.121133024,-0.409657232,0.466387085,0.990987696,-0.063135526,-0.546345757,-0.1075173,-0.511156598,-0.71647288,0.086442254,426,Country
41,Van Morrison,307461,0.045731599,-0.380261724,0.284906646,-0.089692382,-0.312733751,0.466387085,0.422544996,0.192283122,-0.457807092,0.287075471,-0.169887598,0.351398485,-0.349196505,419,Pop/Rock
42,Pink Floyd,346336,-1.199144907,-0.786202681,-1.435478168,-0.210304719,-1.249259712,0.466387085,0.422544996,0.151823037,0.716597283,1.356300151,-0.138452239,0.808522203,0.430401032,414,Pop/Rock
43,Taylor Swift,472102,0.436927726,0.241490447,-0.570336288,0.115690998,0.928127439,0.466387085,0.422544996,-0.555995242,-0.564735437,-0.357508262,-0.227369076,-0.085668057,1.327615946,401,Pop/Rock
44,Sam Cooke,238115,-0.605029629,-0.620235018,0.283981462,-0.371186859,-0.074932043,0.466387085,0.422544996,1.20639183,-0.565574671,0.761092711,-0.100776956,-0.91066629,-0.791163278,395,R&B;
45,Billy Joel,85915,-0.032231189,0.134501738,0.014531125,0.093199218,0.16469138,0.466387085,-1.567004454,0.077460753,-0.475935863,0.536146041,-0.144375044,0.172083352,0.041292962,394,Pop/Rock
46,Eric Clapton,187478,0.186917817,-0.104591304,0.542209337,-0.234039674,-0.298099042,0.466387085,0.422544996,0.047484269,0.080491883,1.284710671,-0.23037258,0.297624449,-0.271020803,386,Pop/Rock
47,Kiss,84209,-0.32146653,1.258100968,0.037774939,0.485708837,0.708715963,0.466387085,-1.282783104,-0.586280618,-0.251899635,1.244563938,0.162676183,-0.235137235,-0.280906368,382,Pop/Rock
48,Sarah Vaughan,204901,-1.099787709,-1.703208227,-1.218861121,-0.536078902,-0.873118072,0.466387085,1.275209046,1.784057777,-0.564396662,0.311444703,-0.263389893,-0.639776803,-1.831583303,381,Vocal
49,John Williams,232480,-2.028301373,-1.894644069,-1.848754177,-0.854643124,-2.71808958,0.466387085,-0.998561754,1.700807897,2.567459109,-0.404790932,-0.316088669,0.024478635,-0.149222939,378,Stage & Screen
50,John Williams,1535255,-2.028301373,-1.894644069,-1.848754177,-0.854643124,-2.71808958,0.466387085,-0.998561754,1.700807897,2.567459109,-0.404790932,-0.316088669,0.024478635,-0.149222939,378,Unknown
51,Talking Heads,131650,1.059418575,0.461168058,1.188733035,0.026882056,0.131681426,0.466387085,-0.998561754,-0.669480778,-0.059665026,0.720468727,-0.272172773,0.170913299,-0.254962127,377,Pop/Rock
52,Nat King Cole,317093,-0.818911466,-1.390145928,-0.555632068,-0.631944404,-0.868873206,0.466387085,-1.567004454,1.510426676,-0.233943172,-0.150808582,-0.24580022,-0.976335359,-1.14718576,377,Jazz
53,Jimmy Buffett,350840,0.671664058,-0.570853035,0.610559593,0.107998622,-0.814456283,0.466387085,0.422544996,0.093808572,-0.527505663,-0.075401266,-0.344447363,-0.233361327,-0.389697921,377,Pop/Rock
54,Michael Jackson,467203,1.216095481,0.498803762,0.400712881,-0.118207661,0.656846375,0.466387085,1.559430396,-0.299342247,-0.369758746,0.003768299,-0.005112257,0.23205727,0.682068617,373,R&B;
55,Charles Mingus,9680,-0.776316987,-1.307659577,-0.637761215,-0.525086392,-1.341219807,0.466387085,-0.145897704,1.180801127,0.454820095,0.209941247,-0.086608736,1.756107387,-1.735244784,366,Jazz
56,The Cure,137390,0.229438735,0.526675602,0.133274954,0.482329545,0.293223796,0.466387085,0.990987696,-0.548295228,0.807140392,0.039668397,-0.171626731,0.187564735,-0.578960215,362,Pop/Rock
57,Genesis,199995,-0.83723535,-0.095854542,-0.84678128,-0.101576672,-0.312624701,0.466387085,0.422544996,-0.302059584,-0.115943977,0.547771,-0.302250573,1.117705321,-0.69097605,330,Pop/Rock
58,Bill Evans Trio,781423,-0.563669944,-1.827542667,-1.333341413,-0.88558127,-2.329488262,-2.143775435,-1.567004454,1.77403398,2.399501528,0.338330253,-0.381905868,0.909788089,-1.354008528,328,Unknown
59,R.E.M.,325459,-0.595852425,0.498366373,0.529632126,0.793972343,0.111256615,0.466387085,-0.998561754,-0.680320281,-0.079499234,-0.127977477,-0.376250614,-0.192107345,-0.207880592,324,Pop/Rock
60,Otis Redding,414251,0.626583343,-0.876100417,0.403537128,0.441718399,-0.328329109,0.466387085,0.990987696,0.33484646,-0.50443491,0.068261366,-0.178651487,-0.837494254,-0.479905455,324,R&B;
61,Bruce Springsteen,530745,-0.585697998,0.179739054,-0.096227466,0.155746934,-0.246349186,0.466387085,-0.145897704,-0.361991417,-0.470489568,1.753146313,-0.241968156,0.33924707,0.348020648,320,Pop/Rock
62,The Moody Blues,404434,-1.319751308,-0.44433564,-0.691265358,-0.325145784,-0.335353748,0.466387085,0.990987696,0.221747912,0.272142879,0.490330804,-0.331345568,-0.006939903,-0.963473359,319,Pop/Rock
63,Asha Bhosle,615026,0.110049862,-0.92688536,0.828655217,-0.22233743,-0.142187017,0.466387085,-0.714340404,1.947641042,0.165121056,0.275390896,1.267884738,-0.145044499,-2.615754871,319,International
64,Eagles,144847,-0.121562351,-0.173455549,0.090007435,-0.242855948,0.042059818,0.466387085,0.422544996,-0.14320108,-0.273215292,1.309378092,-0.436941956,0.232485808,0.42108942,312,Pop/Rock
65,Peggy Lee,256349,0.262818442,-1.631500715,-0.153141485,-0.249305849,-0.855277701,0.466387085,0.422544996,1.577106995,-0.49136951,-0.1675325,-0.241976663,-0.951994968,-1.560440688,312,Vocal
66,Nirvana,355142,-0.842614226,0.825885699,-0.531175399,0.73003508,0.390510539,0.466387085,-1.282783104,-0.799614787,-0.107946728,-0.140506102,-0.1087289,-0.391788923,0.492801476,312,Pop/Rock
67,Nirvana,357406,-0.842614226,0.825885699,-0.531175399,0.73003508,0.390510539,0.466387085,-1.282783104,-0.799614787,-0.107946728,-0.140506102,-0.1087289,-0.391788923,0.492801476,312,Pop/Rock
68,Peggy Lee,467749,0.262818442,-1.631500715,-0.153141485,-0.249305849,-0.855277701,0.466387085,0.422544996,1.577106995,-0.49136951,-0.1675325,-0.241976663,-0.951994968,-1.560440688,312,Unknown
69,John Prine,814751,0.066477886,-1.066618464,0.391300912,0.361375155,-1.374570557,0.466387085,0.422544996,0.729482303,-0.547492134,0.180660743,-0.402325835,-0.450235833,-0.306295889,309,Pop/Rock
70,Sonny Rollins,39656,-0.09358706,-0.940835431,0.213529955,-0.348572285,-0.819652751,0.466387085,-1.567004454,1.047657652,0.420154146,0.241743854,-0.011330576,1.741866721,-1.851061412,308,Jazz
71,James Taylor,204386,0.44502522,-1.132094788,-0.176945517,-0.487492747,-1.028261571,0.466387085,-1.567004454,0.694299176,-0.50293906,0.0750031,-0.396893477,-0.392282278,-0.322359969,308,Pop/Rock
72,James Taylor,600069,0.44502522,-1.132094788,-0.176945517,-0.487492747,-1.028261571,0.466387085,-1.567004454,0.694299176,-0.50293906,0.0750031,-0.396893477,-0.392282278,-0.322359969,308,Unknown
73,Chet Baker,94210,-0.360555529,-1.835530061,-0.780698075,-0.383276121,-1.399473357,0.466387085,-1.567004454,1.892692195,1.337755102,-0.363735996,-0.319802783,-0.041897581,-1.182830003,305,Jazz
74,Rush,203008,-0.724650011,0.902473568,-0.364110321,0.533094675,0.183004739,0.466387085,-0.998561754,-0.854438094,-0.148393564,1.197893373,-0.231798085,1.275016195,-0.27428241,305,Pop/Rock
75,Prince,361393,1.148431771,-0.165316031,0.398161185,0.004020498,-0.542854218,0.466387085,-1.282783104,-0.490019108,-0.298359209,0.225641752,0.0640533,0.695074928,0.108153509,300,R&B;
76,AC/DC,574772,-0.563909939,1.227928137,-0.249876252,0.435541935,1.231441918,0.466387085,0.990987696,-1.062589389,0.407705813,0.82477388,0.03111086,0.206219622,0.69875075,300,Pop/Rock
77,Prince,1426748,1.148431771,-0.165316031,0.398161185,0.004020498,-0.542854218,0.466387085,-1.282783104,-0.490019108,-0.298359209,0.225641752,0.0640533,0.695074928,0.108153509,300,Unknown
78,Prince,1589051,1.148431771,-0.165316031,0.398161185,0.004020498,-0.542854218,0.466387085,-1.282783104,-0.490019108,-0.298359209,0.225641752,0.0640533,0.695074928,0.108153509,300,Unknown
79,Ramones,490004,-0.824588828,1.369676246,0.926253621,2.164007377,1.287589238,0.466387085,0.990987696,-0.988480734,-0.117722522,0.155793428,-0.053178172,-1.189098321,-0.386718875,296,Pop/Rock
80,Neil Young,379125,-0.249060488,-0.871859574,-0.252162342,0.303104686,-0.714374674,0.466387085,0.422544996,0.397603755,-0.36894112,0.521334359,-0.424792033,0.093907528,-0.074862937,294,Pop/Rock
81,Julie London,247966,-0.888601022,-1.835401689,-1.348778033,-0.744392435,-1.113085058,0.466387085,1.275209046,1.59896687,-0.538145185,-0.266520136,-0.30069808,-1.074785885,-1.391910054,292,Vocal
82,Los Tigres del Norte,806336,1.543366973,-0.308279418,1.740987923,0.159933924,0.159494118,0.466387085,0.990987696,0.121130329,-0.566004929,-0.278378323,0.653468217,-0.709517836,0.311790354,290,Latin
83,Stan Getz,742899,-0.325782948,-1.61152786,-0.107413902,-0.367450642,-1.612354022,0.466387085,-0.145897704,1.811997326,0.775949322,-0.276633457,-0.293365177,0.710373734,-1.363489997,287,Jazz
84,Green Day,154544,-1.045925644,1.446922433,0.556615305,0.920641455,1.362885103,0.466387085,-1.282783104,-1.102412884,-0.479937403,0.008240208,0.023958824,-0.494154178,0.629607553,281,Pop/Rock
85,Marty Robbins,858710,0.246516512,-1.139326857,0.012695676,-0.301622686,-0.442121149,0.466387085,-0.430119054,1.547247379,-0.530835455,-0.102499727,-0.386745156,-0.783554161,-1.084715478,281,Country
86,Bill Evans,61912,-0.452105433,-1.663550237,-0.940459159,-0.868160115,-1.897288965,0.466387085,-1.567004454,1.816479902,2.151171875,-0.520867272,-0.353110752,0.771897869,-1.034976822,280,Country
87,Bill Evans,74005,-0.452105433,-1.663550237,-0.940459159,-0.868160115,-1.897288965,0.466387085,-1.567004454,1.816479902,2.151171875,-0.520867272,-0.353110752,0.771897869,-1.034976822,280,Jazz
88,Bill Evans,764702,-0.452105433,-1.663550237,-0.940459159,-0.868160115,-1.897288965,0.466387085,-1.567004454,1.816479902,2.151171875,-0.520867272,-0.353110752,0.771897869,-1.034976822,280,Jazz
89,Bee Gees,43714,0.097833419,-0.345354133,0.261025759,-0.690540457,-0.298516301,0.466387085,0.422544996,-0.325206641,-0.368954454,0.429936416,-0.398361448,-0.216122394,0.223594862,269,Pop/Rock
90,"Hank Williams, Jr.",117844,0.54288789,-0.249273986,0.525809139,-0.207078939,-0.462672968,0.466387085,-0.998561754,-0.367653333,-0.562751765,-0.340124339,-0.346008548,-0.540777677,-0.272366097,269,Country
91,Journey,291043,-0.998658465,0.726799843,-0.614560299,0.453361266,0.636340203,0.466387085,-0.998561754,-0.751971551,-0.461320553,0.859821715,-0.237918479,-0.054351151,-0.06836176,269,Pop/Rock
92,Depeche Mode,239921,0.512143074,0.46991909,0.30359249,0.106308305,-0.158597129,0.466387085,-1.567004454,-0.344443289,0.398387733,0.208806523,-0.389193425,0.239593766,-0.373437922,267,Pop/Rock
93,Wings,956707,-0.239772191,-0.500093603,-0.043662919,0.010028311,-0.547616599,0.466387085,-0.998561754,-0.090374437,-0.342062163,1.089765529,-0.292328439,-0.022414921,-0.353075823,266,Pop/Rock
94,Neil Diamond,864209,-0.554328416,-0.723162819,-0.14230699,-0.562656756,-0.80547266,0.466387085,0.990987696,0.234860373,-0.377703547,0.243269474,-0.348522945,-0.491766077,-0.305747564,265,Pop/Rock
95,Electric Light Orchestra,163229,-0.390544829,-0.092613187,-0.065198291,0.087635697,-0.006414604,0.466387085,0.990987696,0.364020831,-0.29124593,0.600882855,-0.390283949,0.01115329,-0.014116428,264,Pop/Rock
96,Aerosmith,604852,-0.779236986,0.94894022,-0.0441245,0.392060839,0.549311883,0.466387085,0.990987696,-0.898893142,-0.424326582,0.580489334,-0.291859172,0.238900363,0.056318202,264,Pop/Rock
97,Henry Mancini,678009,-0.468855842,-1.039864514,-0.396627036,-0.327207986,-0.89108616,0.466387085,-1.567004454,1.464889459,1.554043698,-0.477133605,-0.436823116,-0.94927542,-1.498175337,263,Easy Listening
98,Jackie Gleason,781399,-2.500660203,-1.499223189,-2.041464686,-1.214650068,-1.096726495,0.466387085,-0.145897704,1.753660162,2.433198096,-0.03851467,-0.132049828,-0.74534363,-2.173584853,263,Unknown
99,The Clash,75747,0.314473107,0.627293798,0.889041902,0.814590065,0.075709647,0.466387085,-1.567004454,-0.593215777,-0.149136699,0.17488464,0.125957271,-0.415601945,-0.186406538,262,Pop/Rock
100,The Byrds,631774,-0.558359503,-0.026243742,0.584895736,0.011076989,-0.048887543,0.466387085,-0.998561754,-0.031333088,-0.313451276,0.375809413,-0.423512878,-0.945102535,-0.877665196,262,Pop/Rock
101,George Jones,944310,0.109070827,-0.864727074,0.223510146,-0.525807914,-0.46129783,0.466387085,0.422544996,0.871781865,-0.540423942,0.137647015,-0.416558391,-0.962791128,-0.822272181,262,Country
102,B.B. King,59156,0.109872354,-0.252083131,0.525002818,-0.469876605,0.279385681,0.466387085,-0.998561754,0.809744477,-0.372529826,0.517014308,0.062491093,-0.141861771,-1.146594285,260,Blues
103,Sublime,486047,0.596300234,0.236718817,0.284655591,-0.517906529,0.601437058,0.466387085,0.990987696,-0.503340607,-0.277975558,0.284830447,0.647885329,-0.611717647,0.309001506,253,Pop/Rock
104,The Allman Brothers Band,745964,-0.824619775,0.173403837,0.371842313,0.059420672,-0.278567182,0.466387085,-0.998561754,-0.042399959,0.650042382,1.812836818,-0.340169136,1.958449945,-0.617351,252,Pop/Rock
105,Dolly Parton,175286,0.232415887,-0.80543119,0.164686753,-0.293720346,-0.309096744,0.466387085,-0.998561754,0.903906631,-0.538507242,-0.15020097,-0.34474354,-0.777988357,-0.294480617,250,Country
106,John Denver,811622,-0.67512152,-1.290079876,-0.218834873,-0.287642862,-0.821483856,0.466387085,0.422544996,1.153575998,-0.534353648,0.380860327,-0.214822822,-0.442974864,-0.328041859,250,Pop/Rock
107,Juan Gabriel,240252,0.076100655,-0.778609812,0.545434717,0.274114847,-0.480319454,0.466387085,-0.998561754,0.530653626,-0.506404429,0.375074892,-0.255197947,-0.104120259,0.39043583,247,Latin
108,Santana,295756,-0.353524504,0.293762292,0.357647409,0.283681563,-0.421022143,0.466387085,0.422544996,-0.250944682,1.10500513,0.278832136,-0.179858582,0.452696261,-0.153812478,246,Pop/Rock
109,The Doors,114342,-0.218526051,-0.372989147,0.142631258,0.176809796,-0.69925765,0.466387085,0.990987696,0.149954834,-0.254694134,0.568169875,0.264936196,-0.332833663,0.296188613,245,Pop/Rock
110,The Weeknd,2674162,0.218005161,0.103757986,-1.198144282,0.248727937,0.652125291,-2.143775435,-1.567004454,-0.24460953,-0.521303703,0.051657513,0.227138915,0.325803037,1.770624889,245,R&B;
111,Dizzy Gillespie,162677,-0.147740242,-0.814645613,0.177953781,-0.066453774,-0.625636664,0.466387085,-0.145897704,1.26659933,0.692470792,0.341393535,0.247973686,0.234458482,-1.943494315,242,Jazz
112,Judas Priest,246611,-1.223560259,1.142543608,-0.977876545,0.471590226,0.950983206,0.466387085,0.990987696,-1.045896814,-0.358481797,1.030485599,0.138489935,0.198614324,-0.202462692,242,Pop/Rock
113,The Isley Brothers,766893,0.251249448,0.035700257,0.753906718,0.112638939,0.067762595,0.466387085,1.559430396,0.453720184,-0.480423145,0.232190918,-0.038570491,0.072297942,-0.598208488,242,R&B;
114,The Smiths,899530,-0.392924314,0.852018985,0.49114204,0.674796561,0.624664761,0.466387085,-0.430119054,-0.798636899,-0.250986286,0.464850334,-0.302505027,-0.24567763,0.484079739,242,Pop/Rock
115,ABBA,922728,0.224132459,0.289361345,0.609787462,0.079298818,0.349165317,0.466387085,0.990987696,0.037019975,-0.447919817,-0.023996614,-0.437329343,-0.144239383,0.092394477,242,Pop/Rock
116,Creedence Clearwater Revival,131627,0.331074631,0.341261525,0.870250032,0.294294312,0.094961968,0.466387085,-0.998561754,-0.7450924,-0.007192282,0.443265134,-0.323374753,-0.342996656,0.428564619,241,Pop/Rock
117,Stevie Ray Vaughan,625739,-0.824078107,0.240413904,0.384249153,0.302743906,-0.310340991,0.466387085,0.706766346,-0.602821688,0.584259243,1.274365458,-0.265308102,0.553033685,-0.124721704,240,Pop/Rock
118,Madonna,237205,1.080702009,0.382461746,0.486132281,-0.195222739,0.10564637,0.466387085,-1.567004454,-0.413992673,-0.350020706,-0.505889933,-0.288244297,0.481879643,0.593298548,236,Pop/Rock
119,Tom Waits,615119,-0.0302376,-1.146923873,-0.450461972,-0.373676828,-0.985974933,0.466387085,-1.567004454,1.244126015,-0.189277667,0.125365985,0.347908583,-0.162793845,-0.23400991,236,Pop/Rock
120,Madonna,1482685,1.080702009,0.382461746,0.486132281,-0.195222739,0.10564637,0.466387085,-1.567004454,-0.413992673,-0.350020706,-0.505889933,-0.288244297,0.481879643,0.593298548,236,International
121,John Mayer,239827,0.305244972,-0.229621561,-0.36222107,-0.209002485,0.28204067,0.466387085,0.422544996,0.142837473,-0.389505261,0.710886444,-0.419660072,0.204313439,1.250578119,235,Pop/Rock
122,Chris Brown,266063,0.854578279,0.253854127,-0.293441693,-0.213314088,0.954687947,-2.143775435,-1.282783104,-0.819598663,-0.566334781,-0.199406405,0.800701859,-0.162900021,1.505005404,235,R&B;
123,Alan Jackson,605375,0.6410018,-0.245972451,0.180183147,0.212728325,0.114167338,0.466387085,0.422544996,-0.064329245,-0.547406625,-0.227160179,-0.51401086,-0.430460837,0.388702121,233,Country
124,Carmen Miranda,181694,1.198522238,-1.223557884,1.470276236,-0.242753697,-1.190416544,0.466387085,-0.714340404,1.783915243,-0.15571608,-0.295386475,0.95889241,-0.937232071,-2.970179089,232,Unknown
125,Chicago,110161,-0.236247889,0.272052406,-0.255000776,0.154533957,0.433908079,0.466387085,-1.567004454,-0.297910176,-0.059023462,-0.097130411,-0.233577282,0.133257218,-0.304011326,230,Pop/Rock
126,Joni Mitchell,270491,-0.112856738,-1.407727889,-0.522799679,-0.4179622,-0.861122291,0.466387085,-0.998561754,1.536699147,-0.519367554,0.234140422,-0.355887512,-0.027107866,-0.233023974,230,Pop/Rock
127,Bob Seger,72041,-0.176692733,0.899819566,-0.131031365,0.3969222,1.015196009,0.466387085,0.990987696,-0.60535239,-0.455016991,1.417102868,-0.030268425,0.183264186,-0.117326531,229,Pop/Rock
128,Phil Collins,337119,0.154777958,0.139386859,-0.328179746,0.022220158,0.244696966,0.466387085,-0.145897704,-0.072912276,-0.235284703,0.166267858,-0.331317594,0.193806935,0.39033694,229,Pop/Rock
129,Brian Eno,617196,-1.702036193,-1.497442563,-1.55800003,-0.850093801,-2.768821012,0.466387085,-1.567004454,1.168299539,2.230012758,-0.351149744,-0.327411704,0.820314041,-0.329568151,229,Pop/Rock
