V1,artist_name,artist_id,Zdanceability,Zenergy,Zvalence,Ztempo,Zloudness,Zmode,Zkey,Zacousticness,Zinstrumentalness,Zliveness,Zspeechiness,Zduration_ms,Zpopularity,count,genre,FAC1_1,FAC2_1,FAC3_1,FAC4_1,FAC5_1,FAC6_1
10,Ella Fitzgerald,184502,-0.858776032,-1.591367124,-0.769191857,-0.589139588,-0.7876104,0.466387085,-1.567004454,1.657836472,-0.545004552,0.151811355,-0.122141323,-0.397222155,-1.376813434,863,Vocal,-1.527670802,-0.287556314,0.859978446,-0.857153955,-1.266684195,-0.351979673
11,Dean Martin,813392,-0.583424612,-1.693254682,-0.35100895,-0.479034514,-1.081195858,0.466387085,0.422544996,1.773758407,-0.4555536,-0.142382862,-0.344727203,-1.024003984,-1.535574929,858,Vocal,-1.559791609,-0.816300939,0.63296898,-0.874934768,0.704534201,-0.806342896
12,Queen,858827,-0.63793076,0.078935422,-0.557956511,-0.192515279,0.030527883,0.466387085,-0.998561754,-0.20477229,-0.430743101,0.626668366,0.017802666,-0.172906718,-0.532751413,858,Pop/Rock,-0.09946245,0.375014648,0.754522649,-0.577966394,-0.915933642,-0.136226997
13,Lata Mangeshkar,132940,-0.332784617,-1.308922353,0.518588413,-0.257643328,-0.561423363,0.466387085,-1.282783104,2.042997058,0.557027154,0.107639023,0.208744995,-0.383554938,-2.683913425,855,Unknown,-1.63681977,-0.939425001,1.237643954,-0.630389583,-0.516961157,1.244643695
14,Glenn Gould,803752,-1.371238024,-1.681321749,0.49283261,-0.527665859,-2.909976452,0.466387085,0.422544996,2.159418942,3.143111461,-0.486513188,-0.295650641,-0.650399881,-1.588006169,831,Unknown,-2.695618974,-0.160871304,0.009535475,-0.651520732,1.185277658,1.339533293
15,The Beatles,754032,-0.172868237,-0.178795893,0.372084121,0.037438248,0.06550896,0.466387085,-1.567004454,0.056935119,-0.344402145,0.234795718,-0.216322178,-0.860837644,0.639848754,823,Pop/Rock,0.147927842,-0.361831828,0.283352128,-0.805038807,-1.43633624,-0.008796998
16,Fleetwood Mac,182900,0.239147095,-0.315572055,0.31333694,0.152634225,-0.482593479,0.466387085,0.990987696,0.054935774,-0.008546231,0.414208862,-0.375535161,-0.065060329,-0.356888514,796,Pop/Rock,-0.2010536,-0.3422286,0.188744759,-0.163260807,0.968522533,-0.108902699
17,Led Zeppelin,139026,-0.915758391,0.478526596,-0.195508531,-0.076673949,-0.058812929,0.466387085,-0.998561754,-0.407061621,0.111706042,0.263475677,-0.1011931,0.965122853,0.137670251,676,Pop/Rock,0.043794245,0.869191671,0.094877601,-0.269790814,-1.063841804,0.370658053
18,Bob Marley & the Wailers,69402,1.461194991,-0.175161421,1.019586171,-0.003046442,0.069562843,0.466387085,0.990987696,-0.472491284,-0.444705393,0.80992024,1.106334801,0.32463746,0.267293252,606,Reggae,0.519125406,-0.864612003,0.725658129,1.152293543,0.515479252,-0.219013371
19,Nina Simone,411761,-0.74631278,-1.175508669,-0.452578731,-0.306516863,-0.818602586,0.466387085,0.990987696,1.479875338,-0.401924421,0.813565213,-0.152878282,-0.157906138,-0.825498978,569,Vocal,-1.141952409,-0.080358717,0.889643624,-0.308268366,0.969306116,-0.960750525
20,Elton John,796734,-0.159609333,0.002555687,-0.071364197,0.400933565,0.071969467,0.466387085,-1.567004454,0.025065767,-0.517244106,0.229641714,-0.362489064,0.390217573,-0.11370727,568,Pop/Rock,0.023840992,0.082196684,0.237428571,-0.631517111,-1.411638275,0.481885644
21,Stevie Wonder,622805,0.100846904,-0.276784168,0.353783541,-0.341634305,-0.495206164,0.466387085,-1.282783104,-0.001207891,-0.459078122,-0.107766548,-0.199998775,0.005046119,-0.386648332,543,R&B;,-0.258500379,-0.517515163,0.137983051,-0.370806972,-1.211697225,0.255364366
22,Marvin Gaye,316834,-0.029934521,-0.130352204,0.522406133,-0.219469154,-0.185779513,-2.143775435,-1.567004454,0.270209716,0.020245503,0.30158911,-0.262520075,-0.178380481,-0.545010087,542,R&B;,-0.235604484,-0.226070781,-0.102279733,0.731183701,-0.821307413,1.27997509
23,Leonard Bernstein,239859,-1.639242007,-1.729741573,-1.530383382,-0.793522151,-2.24588301,0.466387085,-0.145897704,1.803696074,1.600131233,0.272037191,0.208425355,1.012825694,-2.173669322,541,Unknown,-2.659207899,1.026252661,0.663786791,-0.094052388,0.11860142,0.348682636
24,The Who,577627,-0.542345686,0.64044579,-0.206233066,0.35924971,0.271671529,0.466387085,-0.998561754,-0.405858589,-0.269527061,0.488634939,-0.094813263,-0.075984018,-0.742845229,518,Pop/Rock,0.215457734,0.369584581,0.704163394,-0.765380456,-0.698968639,0.547520581
25,Willie Nelson,583959,0.130544006,-0.978244315,-0.231828381,-0.262297704,-0.70845454,0.466387085,-0.998561754,0.894670004,-0.410429327,0.139715577,-0.31849759,-0.666548617,-0.588541447,515,Country,-0.799306302,-0.658495987,0.41710949,-0.63596702,-0.838596828,-0.232609968
26,Grateful Dead,988440,0.098469793,-0.313003148,0.422887354,0.01564749,-0.503486099,0.466387085,0.990987696,0.319769221,0.008343404,1.133946866,-0.323855261,1.092982232,-0.543951753,513,Pop/Rock,-0.361659294,0.007877655,0.494541321,0.381394398,0.833754842,0.143436844
27,John Coltrane,175553,-0.630783167,-1.061283531,-0.56167086,-0.208251401,-0.775436667,0.466387085,-1.567004454,1.145077751,0.056800022,-0.153380366,-0.217475606,2.215352096,-1.275068109,506,Jazz,-1.3603241,0.492087771,0.046240363,0.024630569,-1.515691524,0.824093099
28,Thelonious Monk,490416,0.017108193,-1.383211945,-0.725617882,-0.362065615,-1.04434745,0.466387085,-0.145897704,1.611938832,1.563596031,-0.448085012,-0.134039526,0.576069316,-1.595601484,491,Jazz,-1.787226582,-0.011495302,-0.079756492,-0.074482762,0.039906841,0.647926815
29,Vicente Fern脙隆ndez,197424,-0.567672341,-0.859445073,0.14370656,-0.227263928,0.633062249,0.466387085,0.422544996,0.747677683,-0.5470688,0.463496114,-0.36888334,-0.733121252,-0.132375221,489,Latin,-0.22623262,-0.3412792,0.525286956,-0.692449895,0.391566818,-0.929988767
30,Oscar Peterson,489316,0.08513414,-1.921968834,-0.750390399,-0.898629806,-2.332239771,0.466387085,-1.567004454,1.983232092,2.716208737,-0.61572647,-0.296359684,-0.413398909,-1.878762965,482,Jazz,-2.663579651,-0.364412233,-0.160944945,-0.416850611,-1.017938388,1.302634817
31,Metallica,446509,-1.363319185,1.473952644,-1.029011001,0.246269636,0.875010677,0.466387085,-0.430119054,-1.097116668,0.409817588,1.300846959,0.400878773,1.476976234,0.032772622,476,Pop/Rock,0.637576732,2.104715418,0.778122235,0.014614108,-0.619854155,0.355082568
32,U2,219203,-0.746770218,0.438310132,-0.527570751,0.338600621,0.002810295,0.466387085,0.706766346,-0.746280086,-0.016861589,0.932939543,-0.32045946,0.226549588,0.057533315,451,Pop/Rock,0.26209669,0.905595256,0.39924508,-0.409219044,0.625752629,-0.284793264
33,David Bowie,531986,-0.351629846,0.045414281,0.012440691,0.125853924,-0.312292491,0.466387085,-1.567004454,-0.30179443,-0.23950619,0.114046016,-0.131778467,-0.042653677,0.16121904,446,Pop/Rock,0.009584147,0.104485282,0.197304036,-0.618072777,-1.4304599,0.364174426
34,Waylon Jennings,200791,0.384448585,-0.434823904,0.468346211,-0.306979873,-0.560605436,0.466387085,-0.998561754,0.506794269,-0.200938349,0.238835142,-0.417044114,-0.806892014,-0.678622483,445,Country,-0.449791224,-0.926951889,0.422671217,-0.590928793,-0.74980436,0.250505967
35,The Kinks,100160,0.013576996,0.567009621,0.651058684,0.087296112,0.441836743,0.466387085,0.422544996,-0.160343422,-0.470703493,-0.105591143,-0.191780221,-0.720191839,-0.72704455,442,Pop/Rock,0.369532929,-0.590319638,0.378087481,-0.652777955,0.596786361,0.037502191
36,Red Hot Chili Peppers,883318,0.018217091,1.100697568,-0.176216767,-0.17398187,1.047569217,0.466387085,-1.567004454,-0.972896608,-0.242550699,-0.121294257,0.104520565,-0.058861052,0.618344038,438,Pop/Rock,0.915537342,0.33826398,-0.033586378,-0.404965211,-1.745276015,0.071115757
37,Javier Sol脙颅s,216348,-0.74002206,-1.29882221,-0.015816007,-0.427793297,-0.37400834,0.466387085,-1.567004454,1.616503451,-0.555719602,0.470468605,-0.437715655,-0.927475909,-1.350941493,434,Unknown,-1.175318899,-0.681975599,1.031567281,-1.129083787,-1.083081962,-0.057861745
38,Aretha Franklin,927555,0.045461575,-0.713813571,0.143130448,-0.074226817,-0.191716244,0.466387085,-1.567004454,0.884465103,-0.54124087,0.549412906,-0.12501196,-0.342379319,-0.659847695,434,R&B;,-0.529720422,-0.590214327,0.807820987,-0.561254328,-1.320249016,0.221693168
39,Doris Day,189644,-0.922579223,-1.95857426,-0.999826562,-0.533740453,-1.272070395,0.466387085,-1.567004454,1.806040144,-0.530627195,0.017713849,-0.288079395,-0.908506694,-1.944991838,428,Vocal,-1.918087206,-0.478426699,0.944168214,-1.211562454,-1.043556434,-0.324669578
40,George Strait,944084,0.588124866,-0.468732386,0.09075119,0.121133024,-0.409657232,0.466387085,0.990987696,-0.063135526,-0.546345757,-0.1075173,-0.511156598,-0.71647288,0.086442254,426,Country,-0.019584387,-0.715278366,-0.158146867,-0.418064811,0.860966376,-0.748856601
41,Van Morrison,307461,0.045731599,-0.380261724,0.284906646,-0.089692382,-0.312733751,0.466387085,0.422544996,0.192283122,-0.457807092,0.287075471,-0.169887598,0.351398485,-0.349196505,419,Pop/Rock,-0.224438627,-0.298620214,0.255599055,-0.045062764,0.302459507,-0.227748858
42,Pink Floyd,346336,-1.199144907,-0.786202681,-1.435478168,-0.210304719,-1.249259712,0.466387085,0.422544996,0.151823037,0.716597283,1.356300151,-0.138452239,0.808522203,0.430401032,414,Pop/Rock,-0.918942008,1.496207324,0.405258468,0.051900697,0.118781562,-0.702656443
43,Taylor Swift,472102,0.436927726,0.241490447,-0.570336288,0.115690998,0.928127439,0.466387085,0.422544996,-0.555995242,-0.564735437,-0.357508262,-0.227369076,-0.085668057,1.327615946,401,Pop/Rock,0.773994479,0.157170851,-0.594090575,-0.224178279,-0.133674299,-1.158710782
44,Sam Cooke,238115,-0.605029629,-0.620235018,0.283981462,-0.371186859,-0.074932043,0.466387085,0.422544996,1.20639183,-0.565574671,0.761092711,-0.100776956,-0.91066629,-0.791163278,395,R&B;,-0.571562687,-0.550235267,1.081576265,-0.597371545,0.561937453,-0.690842905
45,Billy Joel,85915,-0.032231189,0.134501738,0.014531125,0.093199218,0.16469138,0.466387085,-1.567004454,0.077460753,-0.475935863,0.536146041,-0.144375044,0.172083352,0.041292962,394,Pop/Rock,0.106701103,-0.001414314,0.471109251,-0.421266621,-1.5141186,0.286553586
46,Eric Clapton,187478,0.186917817,-0.104591304,0.542209337,-0.234039674,-0.298099042,0.466387085,0.422544996,0.047484269,0.080491883,1.284710671,-0.23037258,0.297624449,-0.271020803,386,Pop/Rock,-0.112377954,-0.167128404,0.657013239,0.206158191,0.308884308,0.070204441
47,Kiss,84209,-0.32146653,1.258100968,0.037774939,0.485708837,0.708715963,0.466387085,-1.282783104,-0.586280618,-0.251899635,1.244563938,0.162676183,-0.235137235,-0.280906368,382,Pop/Rock,0.732294492,0.453646112,1.164463993,-0.576308283,-1.022861954,0.685240812
48,Sarah Vaughan,204901,-1.099787709,-1.703208227,-1.218861121,-0.536078902,-0.873118072,0.466387085,1.275209046,1.784057777,-0.564396662,0.311444703,-0.263389893,-0.639776803,-1.831583303,381,Vocal,-1.679200997,-0.099901335,0.924926884,-0.761908598,1.393870734,-1.399195678
49,John Williams,232480,-2.028301373,-1.894644069,-1.848754177,-0.854643124,-2.71808958,0.466387085,-0.998561754,1.700807897,2.567459109,-0.404790932,-0.316088669,0.024478635,-0.149222939,378,Stage & Screen,-2.663724672,1.366327743,-0.420175206,-0.723137142,-0.801011603,-0.004136653
50,John Williams,1535255,-2.028301373,-1.894644069,-1.848754177,-0.854643124,-2.71808958,0.466387085,-0.998561754,1.700807897,2.567459109,-0.404790932,-0.316088669,0.024478635,-0.149222939,378,Unknown,-2.663724672,1.366327743,-0.420175206,-0.723137142,-0.801011603,-0.004136653
51,Talking Heads,131650,1.059418575,0.461168058,1.188733035,0.026882056,0.131681426,0.466387085,-0.998561754,-0.669480778,-0.059665026,0.720468727,-0.272172773,0.170913299,-0.254962127,377,Pop/Rock,0.509325696,-0.748468292,0.33219534,0.064753012,-0.929279594,1.017633953
52,Nat King Cole,317093,-0.818911466,-1.390145928,-0.555632068,-0.631944404,-0.868873206,0.466387085,-1.567004454,1.510426676,-0.233943172,-0.150808582,-0.24580022,-0.976335359,-1.14718576,377,Jazz,-1.420546997,-0.460324044,0.622423896,-1.087030371,-1.188744638,-0.287450066
53,Jimmy Buffett,350840,0.671664058,-0.570853035,0.610559593,0.107998622,-0.814456283,0.466387085,0.422544996,0.093808572,-0.527505663,-0.075401266,-0.344447363,-0.233361327,-0.389697921,377,Pop/Rock,-0.257869413,-0.958346077,0.025983828,-0.206179973,0.44046738,-0.060207459
54,Michael Jackson,467203,1.216095481,0.498803762,0.400712881,-0.118207661,0.656846375,0.466387085,1.559430396,-0.299342247,-0.369758746,0.003768299,-0.005112257,0.23205727,0.682068617,373,R&B;,0.741079345,-0.515990879,-0.297806251,0.527170101,0.939756904,-0.79646404
55,Charles Mingus,9680,-0.776316987,-1.307659577,-0.637761215,-0.525086392,-1.341219807,0.466387085,-0.145897704,1.180801127,0.454820095,0.209941247,-0.086608736,1.756107387,-1.735244784,366,Jazz,-1.722120942,0.468599645,0.341520906,0.215561249,-0.122654223,0.403641702
56,The Cure,137390,0.229438735,0.526675602,0.133274954,0.482329545,0.293223796,0.466387085,0.990987696,-0.548295228,0.807140392,0.039668397,-0.171626731,0.187564735,-0.578960215,362,Pop/Rock,0.248124087,0.192496805,-0.034964631,-0.187957811,1.058988541,0.591920671
57,Genesis,199995,-0.83723535,-0.095854542,-0.84678128,-0.101576672,-0.312624701,0.466387085,0.422544996,-0.302059584,-0.115943977,0.547771,-0.302250573,1.117705321,-0.69097605,330,Pop/Rock,-0.371283724,0.943538543,0.249548662,-0.141552743,0.267043636,-0.222752907
58,Bill Evans Trio,781423,-0.563669944,-1.827542667,-1.333341413,-0.88558127,-2.329488262,-2.143775435,-1.567004454,1.77403398,2.399501528,0.338330253,-0.381905868,0.909788089,-1.354008528,328,Unknown,-2.570439821,0.886886341,-0.499589734,1.219534246,-0.837219771,1.579745757
59,R.E.M.,325459,-0.595852425,0.498366373,0.529632126,0.793972343,0.111256615,0.466387085,-0.998561754,-0.680320281,-0.079499234,-0.127977477,-0.376250614,-0.192107345,-0.207880592,324,Pop/Rock,0.381447708,0.106263454,0.121596086,-1.05151282,-0.557462318,0.952441091
60,Otis Redding,414251,0.626583343,-0.876100417,0.403537128,0.441718399,-0.328329109,0.466387085,0.990987696,0.33484646,-0.50443491,0.068261366,-0.178651487,-0.837494254,-0.479905455,324,R&B;,-0.225306436,-0.994396926,0.323241987,-0.419999415,1.09004485,-0.368009645
61,Bruce Springsteen,530745,-0.585697998,0.179739054,-0.096227466,0.155746934,-0.246349186,0.466387085,-0.145897704,-0.361991417,-0.470489568,1.753146313,-0.241968156,0.33924707,0.348020648,320,Pop/Rock,0.181832634,0.605214739,0.91801501,-0.168793403,-0.254278768,-0.246492527
62,The Moody Blues,404434,-1.319751308,-0.44433564,-0.691265358,-0.325145784,-0.335353748,0.466387085,0.990987696,0.221747912,0.272142879,0.490330804,-0.331345568,-0.006939903,-0.963473359,319,Pop/Rock,-0.70422771,0.69049178,0.481358402,-0.578696843,1.036837534,-0.535808295
63,Asha Bhosle,615026,0.110049862,-0.92688536,0.828655217,-0.22233743,-0.142187017,0.466387085,-0.714340404,1.947641042,0.165121056,0.275390896,1.267884738,-0.145044499,-2.615754871,319,International,-1.200019535,-1.115673423,1.760022224,0.104828703,-0.18251772,1.056001032
64,Eagles,144847,-0.121562351,-0.173455549,0.090007435,-0.242855948,0.042059818,0.466387085,0.422544996,-0.14320108,-0.273215292,1.309378092,-0.436941956,0.232485808,0.42108942,312,Pop/Rock,0.106850999,0.180015908,0.451911172,0.011084208,0.124025972,-0.587857508
65,Peggy Lee,256349,0.262818442,-1.631500715,-0.153141485,-0.249305849,-0.855277701,0.466387085,0.422544996,1.577106995,-0.49136951,-0.1675325,-0.241976663,-0.951994968,-1.560440688,312,Vocal,-1.301539527,-1.181386675,0.56932026,-0.612053292,0.66448048,-0.550480358
66,Nirvana,355142,-0.842614226,0.825885699,-0.531175399,0.73003508,0.390510539,0.466387085,-1.282783104,-0.799614787,-0.107946728,-0.140506102,-0.1087289,-0.391788923,0.492801476,312,Pop/Rock,0.575397787,0.773944628,0.08521588,-1.123908403,-1.061675433,0.285806805
67,Nirvana,357406,-0.842614226,0.825885699,-0.531175399,0.73003508,0.390510539,0.466387085,-1.282783104,-0.799614787,-0.107946728,-0.140506102,-0.1087289,-0.391788923,0.492801476,312,Pop/Rock,0.575397787,0.773944628,0.08521588,-1.123908403,-1.061675433,0.285806805
68,Peggy Lee,467749,0.262818442,-1.631500715,-0.153141485,-0.249305849,-0.855277701,0.466387085,0.422544996,1.577106995,-0.49136951,-0.1675325,-0.241976663,-0.951994968,-1.560440688,312,Unknown,-1.301539527,-1.181386675,0.56932026,-0.612053292,0.66448048,-0.550480358
69,John Prine,814751,0.066477886,-1.066618464,0.391300912,0.361375155,-1.374570557,0.466387085,0.422544996,0.729482303,-0.547492134,0.180660743,-0.402325835,-0.450235833,-0.306295889,309,Pop/Rock,-0.731082431,-0.78440784,0.293773718,-0.512472334,0.600096529,-0.217061279
70,Sonny Rollins,39656,-0.09358706,-0.940835431,0.213529955,-0.348572285,-0.819652751,0.466387085,-1.567004454,1.047657652,0.420154146,0.241743854,-0.011330576,1.741866721,-1.851061412,308,Jazz,-1.309962263,-0.106376423,0.486697602,0.222178349,-1.327557697,1.407484954
71,James Taylor,204386,0.44502522,-1.132094788,-0.176945517,-0.487492747,-1.028261571,0.466387085,-1.567004454,0.694299176,-0.50293906,0.0750031,-0.396893477,-0.392282278,-0.322359969,308,Pop/Rock,-0.839637618,-0.784565518,0.174709785,-0.43572246,-1.519671218,-0.172282082
72,James Taylor,600069,0.44502522,-1.132094788,-0.176945517,-0.487492747,-1.028261571,0.466387085,-1.567004454,0.694299176,-0.50293906,0.0750031,-0.396893477,-0.392282278,-0.322359969,308,Unknown,-0.839637618,-0.784565518,0.174709785,-0.43572246,-1.519671218,-0.172282082
73,Chet Baker,94210,-0.360555529,-1.835530061,-0.780698075,-0.383276121,-1.399473357,0.466387085,-1.567004454,1.892692195,1.337755102,-0.363735996,-0.319802783,-0.041897581,-1.182830003,305,Jazz,-2.028251655,-0.120760917,0.039243398,-0.619750009,-1.177790865,0.64416689
74,Rush,203008,-0.724650011,0.902473568,-0.364110321,0.533094675,0.183004739,0.466387085,-0.998561754,-0.854438094,-0.148393564,1.197893373,-0.231798085,1.275016195,-0.27428241,305,Pop/Rock,0.38769066,1.16395884,0.634952822,-0.277654577,-0.923838464,0.798296573
75,Prince,361393,1.148431771,-0.165316031,0.398161185,0.004020498,-0.542854218,0.466387085,-1.282783104,-0.490019108,-0.298359209,0.225641752,0.0640533,0.695074928,0.108153509,300,R&B;,0.083473234,-0.529373263,0.004292803,0.345336289,-1.444435028,0.589375946
76,AC/DC,574772,-0.563909939,1.227928137,-0.249876252,0.435541935,1.231441918,0.466387085,0.990987696,-1.062589389,0.407705813,0.82477388,0.03111086,0.206219622,0.69875075,300,Pop/Rock,1.035732436,1.106796548,0.270129957,-0.192527117,0.735427977,-0.233669693
77,Prince,1426748,1.148431771,-0.165316031,0.398161185,0.004020498,-0.542854218,0.466387085,-1.282783104,-0.490019108,-0.298359209,0.225641752,0.0640533,0.695074928,0.108153509,300,Unknown,0.083473234,-0.529373263,0.004292803,0.345336289,-1.444435028,0.589375946
78,Prince,1589051,1.148431771,-0.165316031,0.398161185,0.004020498,-0.542854218,0.466387085,-1.282783104,-0.490019108,-0.298359209,0.225641752,0.0640533,0.695074928,0.108153509,300,Unknown,0.083473234,-0.529373263,0.004292803,0.345336289,-1.444435028,0.589375946
79,Ramones,490004,-0.824588828,1.369676246,0.926253621,2.164007377,1.287589238,0.466387085,0.990987696,-0.988480734,-0.117722522,0.155793428,-0.053178172,-1.189098321,-0.386718875,296,Pop/Rock,1.305414086,0.186121712,0.745209779,-1.548473242,1.751340878,0.999110133
80,Neil Young,379125,-0.249060488,-0.871859574,-0.252162342,0.303104686,-0.714374674,0.466387085,0.422544996,0.397603755,-0.36894112,0.521334359,-0.424792033,0.093907528,-0.074862937,294,Pop/Rock,-0.516129845,-0.007723476,0.265657743,-0.392164894,0.402520142,-0.426616026
81,Julie London,247966,-0.888601022,-1.835401689,-1.348778033,-0.744392435,-1.113085058,0.466387085,1.275209046,1.59896687,-0.538145185,-0.266520136,-0.30069808,-1.074785885,-1.391910054,292,Vocal,-1.674489688,-0.300393635,0.460487287,-0.838604794,1.283467935,-1.76278222
82,Los Tigres del Norte,806336,1.543366973,-0.308279418,1.740987923,0.159933924,0.159494118,0.466387085,0.990987696,0.121130329,-0.566004929,-0.278378323,0.653468217,-0.709517836,0.311790354,290,Latin,0.487506802,-1.761028919,0.221933508,0.421407553,0.793002639,-0.174729094
83,Stan Getz,742899,-0.325782948,-1.61152786,-0.107413902,-0.367450642,-1.612354022,0.466387085,-0.145897704,1.811997326,0.775949322,-0.276633457,-0.293365177,0.710373734,-1.363489997,287,Jazz,-1.87412799,-0.318394986,0.05801216,-0.128701811,0.056323576,0.461383486
84,Green Day,154544,-1.045925644,1.446922433,0.556615305,0.920641455,1.362885103,0.466387085,-1.282783104,-1.102412884,-0.479937403,0.008240208,0.023958824,-0.494154178,0.629607553,281,Pop/Rock,1.312516633,0.525213035,0.371750976,-1.21866048,-0.965807901,0.595904229
85,Marty Robbins,858710,0.246516512,-1.139326857,0.012695676,-0.301622686,-0.442121149,0.466387085,-0.430119054,1.547247379,-0.530835455,-0.102499727,-0.386745156,-0.783554161,-1.084715478,281,Country,-0.971340221,-1.068549331,0.467925869,-0.679406876,-0.218992817,-0.333269061
86,Bill Evans,61912,-0.452105433,-1.663550237,-0.940459159,-0.868160115,-1.897288965,0.466387085,-1.567004454,1.816479902,2.151171875,-0.520867272,-0.353110752,0.771897869,-1.034976822,280,Country,-2.316597712,0.331200839,-0.419008317,-0.158394683,-1.375133783,0.889165388
87,Bill Evans,74005,-0.452105433,-1.663550237,-0.940459159,-0.868160115,-1.897288965,0.466387085,-1.567004454,1.816479902,2.151171875,-0.520867272,-0.353110752,0.771897869,-1.034976822,280,Jazz,-2.316597712,0.331200839,-0.419008317,-0.158394683,-1.375133783,0.889165388
88,Bill Evans,764702,-0.452105433,-1.663550237,-0.940459159,-0.868160115,-1.897288965,0.466387085,-1.567004454,1.816479902,2.151171875,-0.520867272,-0.353110752,0.771897869,-1.034976822,280,Jazz,-2.316597712,0.331200839,-0.419008317,-0.158394683,-1.375133783,0.889165388
89,Bee Gees,43714,0.097833419,-0.345354133,0.261025759,-0.690540457,-0.298516301,0.466387085,0.422544996,-0.325206641,-0.368954454,0.429936416,-0.398361448,-0.216122394,0.223594862,269,Pop/Rock,-0.028368289,-0.340302259,0.037614745,-0.059914134,0.106887981,-0.770312159
90,"Hank Williams, Jr.",117844,0.54288789,-0.249273986,0.525809139,-0.207078939,-0.462672968,0.466387085,-0.998561754,-0.367653333,-0.562751765,-0.340124339,-0.346008548,-0.540777677,-0.272366097,269,Country,-0.01250468,-0.896902563,-0.069440069,-0.514226928,-0.904466964,0.159815441
91,Journey,291043,-0.998658465,0.726799843,-0.614560299,0.453361266,0.636340203,0.466387085,-0.998561754,-0.751971551,-0.461320553,0.859821715,-0.237918479,-0.054351151,-0.06836176,269,Pop/Rock,0.510842573,0.925897312,0.700723493,-0.920629996,-0.838287009,0.078881318
92,Depeche Mode,239921,0.512143074,0.46991909,0.30359249,0.106308305,-0.158597129,0.466387085,-1.567004454,-0.344443289,0.398387733,0.208806523,-0.389193425,0.239593766,-0.373437922,267,Pop/Rock,0.082770003,-0.164184299,0.047788834,-0.337242664,-1.369642079,1.135503002
93,Wings,956707,-0.239772191,-0.500093603,-0.043662919,0.010028311,-0.547616599,0.466387085,-0.998561754,-0.090374437,-0.342062163,1.089765529,-0.292328439,-0.022414921,-0.353075823,266,Pop/Rock,-0.313580468,0.013020978,0.745021959,-0.417198794,-0.861718707,0.164549714
